territorio,periodo,Indicador,Subcategoria_Indicador,tabela,variavel_cv,categoria,Estimativa,SE,cv_projeto,cv_oficial,dif,ok
Piauí,202002,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,472925.27138876,21694.444357203876,4.587288028296195,NA,NA,NA
Piauí,202003,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,465898.25562089,22441.25811907632,4.8167722991728015,NA,NA,NA
Piauí,202004,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,456314.72689463,20697.06320902209,4.535699154369251,NA,NA,NA
Piauí,202101,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,474488.50813406,20556.45260700619,4.332339404350391,NA,NA,NA
Piauí,202102,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,482458.75938409,19562.141326804496,4.054676373122057,NA,NA,NA
Piauí,202103,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,495833.85321145,17060.15423186853,3.4406997669425308,NA,NA,NA
Piauí,202104,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,486247.74754278,18107.548833673874,3.723934748321024,NA,NA,NA
Piauí,202201,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,476745.54230247,15523.879944299677,3.2562192127326886,NA,NA,NA
Piauí,202202,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,478505.22317486,19558.441760995785,4.087404026904123,4.1,-0.0125959730958769,TRUE
Piauí,202203,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,466855.36749174,15516.33552873264,3.3235851206117206,3.3,0.0235851206117208,TRUE
Piauí,202204,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,472351.86136286,15426.172530955555,3.2658223228859455,3.3,-0.03417767711405428,TRUE
Piauí,202301,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,456271.99726001,18467.418875714553,4.04745831140515,4,0.04745831140515033,TRUE
