Indicador,Indicador_Nome,Regiao_Geografica,Geografia_Nome,Recorte_Demografico,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2253010,Micro 2253010,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),66.96245956624396,"1, 38",1.9460877657777573e-92,***,2.0677182511388672e-92,***,63
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2252021,Micro 2252021,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),5.044885648571508,"1, 34",2.2531215405123883e-88,***,7.885925391793359e-87,***,55
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2220020,Micro 2220020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),14.56794588083843,"1, 32",2.203937388561101e-87,***,6.832205904539414e-86,***,39
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2251022,Micro 2251022,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),45.24407591018294,"1, 31",2.8649940747227593e-78,***,2.9518120769870853e-78,***,41
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2210030,Micro 2210030,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),4.61755136006024,"2, 30",4.360362925078188e-77,***,1.351712506774238e-75,***,37
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2251020,Micro 2251020,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),17.142363713448177,"1, 23",6.088595828313669e-64,***,1.522148957078417e-62,***,25
Taxa_Desocupacao,Taxa de Desocupação,Micro_2253022,Micro 2253022,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),7.461235824299227,"1, 21",2.1953233779654166e-62,***,3.8418159114394786e-61,***,34
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2253022,Micro 2253022,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),3.126964177914445,"1, 21",2.60930335611994e-56,***,4.5662808732098945e-55,***,31
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2253022,Micro 2253022,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),26.554927963590465,"1, 21",1.5937063657054158e-55,***,1.5937063657054158e-55,***,31
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2252020,Micro 2252020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),8.800406906060719,"1, 18",3.81565068452792e-54,***,1.144695205358376e-52,***,20
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2252022,Micro 2252022,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),2.9512668702009295,"1, 16",4.924527906300364e-52,***,1.4773583718901094e-50,***,21
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2253012,Micro 2253012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),8.26021302797518,"1, 18",8.972403973652665e-52,***,1.390722615916163e-50,***,21
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Micro_2252021,Micro 2252021,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),5.5545559225796275,"1, 18",6.171499800591026e-51,***,2.2217399282127687e-49,***,24
Taxa_Desocupacao,Taxa de Desocupação,Micro_2252022,Micro 2252022,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),1.799314480511642,"1, 17",1.34570206224991e-50,***,4.709957217874685e-49,***,22
Taxa_Desocupacao,Taxa de Desocupação,Micro_2252022,Micro 2252022,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),0.5425152528574468,"2, 17",1.2887269806568678e-48,***,3.8661809419706037e-47,***,22
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2252022,Micro 2252022,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),2.551985824191621,"1, 16",2.0820641790375082e-47,***,2.4290748755437597e-46,***,21
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2252022,Micro 2252022,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),2.1295518676229603,"1, 16",3.9159102371715607e-47,***,4.699092284605873e-46,***,21
Taxa_Desocupacao,Taxa de Desocupação,Micro_2252022,Micro 2252022,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),1.5148259940704891,"1, 17",1.5025660606891662e-46,***,1.7529937374706938e-45,***,22
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Micro_2252021,Micro 2252021,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),3.343369582610574,"1, 18",3.935741163624065e-45,***,6.887547036342112e-44,***,24
Taxa_Informalidade,Taxa de Informalidade,"Admin_Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),454.4685780584296,"1, 199",6.441928773357907e-44,***,2.2546750706752674e-42,***,2543
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2253020,Micro 2253020,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),9.234655003405384,"1, 18",4.064734512846039e-42,***,1.0568309733399703e-40,***,21
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2253020,Micro 2253020,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),15.598930350253877,"1, 18",1.961353651308532e-41,***,2.4516920641356652e-40,***,21
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2251013,Micro 2251013,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),6.816433732975941,"1, 14",4.29488564032051e-41,***,3.579071366933759e-40,***,17
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2253011,Micro 2253011,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),4.2257226382000255,"1, 14",1.7221919831473064e-40,***,1.7795983825855504e-39,***,15
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2251013,Micro 2251013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),3.540478949973206,"1, 14",4.053364670514411e-40,***,3.1413576196486676e-39,***,17
Taxa_Desocupacao,Taxa de Desocupação,Micro_2252022,Micro 2252022,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),2.0612577277035316,"1, 17",3.245709748611555e-39,***,1.1035413145279288e-37,***,22
Taxa_Informalidade,Taxa de Informalidade,Zona_Urbana,Zona Urbana,Instrucao,Grau de Instrução (detalhado),VD3004,svyglm+regTermTest(LRT),587.1980258753747,"6, 199",3.384383145433582e-39,***,8.460957863583954e-38,***,3692
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2210012,Micro 2210012,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),2.3048875935025084,"2, 13",6.128601180997202e-38,***,9.499331830545662e-37,***,15
