Indicador,Recorte_Regional,Variavel_Testada,Metodo,Estatistica,GL,p_valor,N,n_testes_familia,p_ajustado
Taxa_Nem_Nem,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),27.926854004605048,"2, 199",2.714383483446254e-5,2800,92,3.9019262574539904e-5
Taxa_Nem_Nem,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),32.710378647313064,"4, 199",9.633223761134878e-4,2800,92,0.0012140501178416556
Taxa_Nem_Nem,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),92.39477594720256,"25, 199",0.5398479465964965,2800,92,0.5457803416140404
Taxa_Nem_Nem,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),25.56633149220761,"1, 199",3.8881603005597924e-5,2800,92,5.419859812901529e-5
Nivel_Ocupacao,Zona,Zona,svyglm+regTermTest(LRT),283.7839383838,"1, 199",2.8913344919201025e-19,10588,92,1.4777931847591634e-18
Nivel_Ocupacao,Situacao,Situacao,svyglm+regTermTest(LRT),284.1803147393184,"2, 199",4.0351874782413197e-19,10588,92,1.953880252622113e-18
Nivel_Ocupacao,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),140.21066499949666,"2, 199",4.097345056942216e-14,10588,92,1.0770164149676681e-13
Nivel_Ocupacao,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),143.27386677435788,"4, 199",5.5140378602464265e-8,10588,92,8.454858052377854e-8
Nivel_Ocupacao,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),378.6510072922192,"25, 199",2.4946492987766412e-6,10588,92,3.7017376691524352e-6
Nivel_Ocupacao,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),140.0633333602873,"1, 199",2.1745045353234963e-14,10588,92,6.062255068174596e-14
Taxa_Participacao,Zona,Zona,svyglm+regTermTest(LRT),280.8250907970323,"1, 199",8.654254915744241e-20,10588,92,4.976196576552938e-19
Taxa_Participacao,Situacao,Situacao,svyglm+regTermTest(LRT),282.06971729392717,"2, 199",1.2001553823557198e-19,10588,92,6.494958539807425e-19
Taxa_Participacao,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),147.05462090466608,"2, 199",5.960657135576169e-15,10588,92,1.7689692144290567e-14
Taxa_Participacao,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),154.43431940978735,"4, 199",4.026945367663227e-9,10588,92,6.8607217375003125e-9
Taxa_Participacao,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),378.4100132772164,"25, 199",8.845988312712715e-9,10588,92,1.4277735522273154e-8
Taxa_Participacao,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),143.16484364536154,"1, 199",5.3259973628843696e-15,10588,92,1.6333058579512067e-14
Taxa_Composta_Subutilizacao,Zona,Zona,svyglm+regTermTest(LRT),291.1668938142211,"1, 199",3.172335428460094e-18,5949,92,1.2689341713840376e-17
Taxa_Composta_Subutilizacao,Situacao,Situacao,svyglm+regTermTest(LRT),305.59461947229374,"2, 199",1.1997143697274836e-18,5949,92,5.255891524520405e-18
Taxa_Composta_Subutilizacao,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),442.8711119241807,"2, 199",3.184565506124386e-40,5949,92,1.4649001328172174e-38
Taxa_Composta_Subutilizacao,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),473.44481242587426,"4, 199",1.1944567662258654e-14,5949,92,3.434063202899363e-14
Taxa_Composta_Subutilizacao,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),663.9404745087022,"25, 199",1.2029224413699135e-10,5949,92,2.354656693745363e-10
Taxa_Composta_Subutilizacao,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),429.71907563959394,"1, 199",3.8745863290719076e-42,5949,92,3.564619422746155e-40
